"","participant","fan","team","testType","testTime","PC"
"291",32,"BVB","BVB","Ecken",2,1
"292",33,"BVB","BVB","Ecken",2,1
"293",34,"BVB","BVB","Ecken",2,0
"294",38,"BVB","BVB","Ecken",2,0.666666666666667
"295",52,"BVB","BVB","Ecken",2,0.5
"296",58,"BVB","BVB","Ecken",2,0.25
"297",60,"BVB","BVB","Ecken",2,0.333333333333333
"298",2,"FCB","BVB","Ecken",2,1
"299",6,"FCB","BVB","Ecken",2,0
"300",8,"FCB","BVB","Ecken",2,0.6
"301",10,"FCB","BVB","Ecken",2,0.5
"302",11,"FCB","BVB","Ecken",2,0.75
"303",13,"FCB","BVB","Ecken",2,1
"304",14,"FCB","BVB","Ecken",2,0
"305",15,"FCB","BVB","Ecken",2,0.8
"306",17,"FCB","BVB","Ecken",2,1
"307",22,"FCB","BVB","Ecken",2,0
"308",31,"FCB","BVB","Ecken",2,0.666666666666667
"309",35,"FCB","BVB","Ecken",2,1
"310",39,"FCB","BVB","Ecken",2,1
"311",41,"FCB","BVB","Ecken",2,0
"312",43,"FCB","BVB","Ecken",2,0
"313",47,"FCB","BVB","Ecken",2,0
"314",51,"FCB","BVB","Ecken",2,1
"315",53,"FCB","BVB","Ecken",2,0.666666666666667
"316",56,"FCB","BVB","Ecken",2,1
"317",57,"FCB","BVB","Ecken",2,0.75
"318",59,"FCB","BVB","Ecken",2,0.666666666666667
"319",61,"FCB","BVB","Ecken",2,0
"320",1,"BVB","FCB","Ecken",2,1
"321",3,"BVB","FCB","Ecken",2,1
"322",7,"BVB","FCB","Ecken",2,0.333333333333333
"323",24,"BVB","FCB","Ecken",2,1
"324",25,"BVB","FCB","Ecken",2,1
"325",28,"BVB","FCB","Ecken",2,0.5
"326",30,"BVB","FCB","Ecken",2,0.666666666666667
"327",32,"BVB","FCB","Ecken",2,0.666666666666667
"328",33,"BVB","FCB","Ecken",2,1
"329",34,"BVB","FCB","Ecken",2,0.333333333333333
"330",38,"BVB","FCB","Ecken",2,0.75
"331",40,"BVB","FCB","Ecken",2,0.75
"332",44,"BVB","FCB","Ecken",2,0.8
"333",52,"BVB","FCB","Ecken",2,0.5
"334",58,"BVB","FCB","Ecken",2,1
"335",60,"BVB","FCB","Ecken",2,0.666666666666667
"336",2,"FCB","FCB","Ecken",2,0.333333333333333
"337",6,"FCB","FCB","Ecken",2,1
"338",8,"FCB","FCB","Ecken",2,0.8
"339",10,"FCB","FCB","Ecken",2,0.75
"340",11,"FCB","FCB","Ecken",2,0.8
"341",13,"FCB","FCB","Ecken",2,0.8
"342",14,"FCB","FCB","Ecken",2,1
"343",15,"FCB","FCB","Ecken",2,0.6
"344",17,"FCB","FCB","Ecken",2,1
"345",18,"FCB","FCB","Ecken",2,1
"346",22,"FCB","FCB","Ecken",2,0.75
"347",26,"FCB","FCB","Ecken",2,1
"348",31,"FCB","FCB","Ecken",2,0.8
"349",35,"FCB","FCB","Ecken",2,1
"350",39,"FCB","FCB","Ecken",2,0.75
"351",41,"FCB","FCB","Ecken",2,1
"352",43,"FCB","FCB","Ecken",2,1
"353",47,"FCB","FCB","Ecken",2,0.8
"354",48,"FCB","FCB","Ecken",2,0.5
"355",51,"FCB","FCB","Ecken",2,0.75
"356",53,"FCB","FCB","Ecken",2,1
"357",55,"FCB","FCB","Ecken",2,0.25
"358",56,"FCB","FCB","Ecken",2,0.75
"359",57,"FCB","FCB","Ecken",2,0
"360",59,"FCB","FCB","Ecken",2,0.5
"361",61,"FCB","FCB","Ecken",2,1
"362",1,"BVB","BVB","KritSit",2,0.666666666666667
"363",3,"BVB","BVB","KritSit",2,0.444444444444444
"364",5,"BVB","BVB","KritSit",2,0.714285714285714
"365",7,"BVB","BVB","KritSit",2,0.666666666666667
"366",23,"BVB","BVB","KritSit",2,0.5
"367",24,"BVB","BVB","KritSit",2,0.714285714285714
"368",25,"BVB","BVB","KritSit",2,1
"369",28,"BVB","BVB","KritSit",2,0.571428571428571
"370",29,"BVB","BVB","KritSit",2,0.666666666666667
"371",30,"BVB","BVB","KritSit",2,0.846153846153846
"372",32,"BVB","BVB","KritSit",2,0.5
"373",33,"BVB","BVB","KritSit",2,0.5625
"374",34,"BVB","BVB","KritSit",2,0.409090909090909
"375",36,"BVB","BVB","KritSit",2,0.333333333333333
"376",38,"BVB","BVB","KritSit",2,0.6
"377",40,"BVB","BVB","KritSit",2,0.5
"378",44,"BVB","BVB","KritSit",2,0.6
"379",52,"BVB","BVB","KritSit",2,0.8
"380",58,"BVB","BVB","KritSit",2,0.714285714285714
"381",60,"BVB","BVB","KritSit",2,0.736842105263158
"382",2,"FCB","BVB","KritSit",2,0.428571428571429
"383",4,"FCB","BVB","KritSit",2,0.625
"384",6,"FCB","BVB","KritSit",2,0.6875
"385",8,"FCB","BVB","KritSit",2,0.739130434782609
"386",9,"FCB","BVB","KritSit",2,0
"387",10,"FCB","BVB","KritSit",2,0.583333333333333
"388",11,"FCB","BVB","KritSit",2,0.761904761904762
"389",12,"FCB","BVB","KritSit",2,0.625
"390",13,"FCB","BVB","KritSit",2,0.833333333333333
"391",14,"FCB","BVB","KritSit",2,0.571428571428571
"392",15,"FCB","BVB","KritSit",2,0.695652173913043
"393",17,"FCB","BVB","KritSit",2,0.727272727272727
"394",18,"FCB","BVB","KritSit",2,0.666666666666667
